単語,カナ,原型,品詞,細分類1,細分類2,細分類3,活用1,活用2,発音
飛びかかっ,トビカカッ,飛びかかる,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
き,キ,くる,動詞,非自立,カ変・クル,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
向う,ムコウ,向う,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
二つ,フタツ,二つ,名詞,一般,,,,,
ばかり,バカリ,ばかり,助詞,副助詞,,,,,
年上,トシウエ,年上,名詞,一般,,,,,
で,デ,だ,助動詞,特殊・ダ,連用形,,,,
ある,アル,ある,助動詞,五段・ラ行アル,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
弱虫,ヨワムシ,弱虫,名詞,一般,,,,,
だ,ダ,だ,助動詞,特殊・ダ,基本形,,,,
が,ガ,が,助詞,接続助詞,,,,,
力,チカラ,力,名詞,一般,,,,,
は,ハ,は,助詞,係助詞,,,,,
強い,ツヨイ,強い,形容詞,自立,形容詞・アウオ段,基本形,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
鉢,ハチ,鉢,名詞,一般,,,,,
の,ノ,の,助詞,格助詞,一般,,,,
開い,ヒライ,開く,動詞,自立,五段・カ行イ音便,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
頭,アタマ,頭,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
、,、,、,記号,読点,,,,,
こっち,コッチ,こっち,名詞,代名詞,一般,,,,
の,ノ,の,助詞,連体化,,,,,
胸,ムネ,胸,名詞,一般,,,,,
へ,ヘ,へ,助詞,格助詞,一般,,,,
宛て,アテ,宛てる,動詞,自立,一段,連用形,,,
て,テ,て,助詞,接続助詞,,,,,
ぐいぐい,グイグイ,ぐいぐい,副詞,助詞類接続,,,,,
押し,オシ,押す,動詞,自立,五段・サ行,連用形,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
拍子,ヒョウシ,拍子,名詞,一般,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
、,、,、,記号,読点,,,,,
勘太郎,カンタロウ,勘太郎,名詞,固有名詞,人名,名,,,
の,ノ,の,助詞,連体化,,,,,
頭,アタマ,頭,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
すべっ,スベッ,すべる,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
おれ,オレ,おれ,名詞,代名詞,一般,,,,
の,ノ,の,助詞,連体化,,,,,
袷,アワセ,袷,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
袖,ソデ,袖,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
中,ナカ,中,名詞,非自立,副詞可能,,,,
に,ニ,に,助詞,格助詞,一般,,,,
はいっ,ハイッ,はいる,動詞,自立,五段・ラ行,連用タ接続,,,
た,タ,た,助動詞,特殊・タ,基本形,,,,
。,。,。,記号,句点,,,,,
,,,,,,,,,
,,,,,,,,,
邪魔,ジャマ,邪魔,名詞,形容動詞語幹,,,,,
に,ニ,に,助詞,格助詞,一般,,,,
なっ,ナッ,なる,動詞,自立,五段・ラ行,連用タ接続,,,
て,テ,て,助詞,接続助詞,,,,,
手,テ,手,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
使え,ツカエ,使える,動詞,自立,一段,未然形,,,
ぬ,ヌ,ぬ,助動詞,特殊・ヌ,基本形,,,,
から,カラ,から,助詞,接続助詞,,,,,
、,、,、,記号,読点,,,,,
無,ム,無,接頭詞,名詞接続,,,,,
暗に,アンニ,暗に,副詞,一般,,,,,
手,テ,手,名詞,一般,,,,,
を,ヲ,を,助詞,格助詞,一般,,,,
振っ,フッ,振る,動詞,自立,五段・ラ行,連用タ接続,,,
たら,タラ,た,助動詞,特殊・タ,仮定形,,,,
、,、,、,記号,読点,,,,,
袖,ソデ,袖,名詞,一般,,,,,
の,ノ,の,助詞,連体化,,,,,
中,ナカ,中,名詞,非自立,副詞可能,,,,
に,ニ,に,助詞,格助詞,一般,,,,
ある,アル,ある,動詞,自立,五段・ラ行,基本形,,,
勘太郎,カンタロウ,勘太郎,名詞,固有名詞,人名,名,,,
の,ノ,の,助詞,連体化,,,,,
頭,アタマ,頭,名詞,一般,,,,,
が,ガ,が,助詞,格助詞,一般,,,,
、,、,、,記号,読点,,,,,
